representation,fold,n,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
transformer_only,42,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.7495421245421245,4,2,4,4
transformer_only,43,14,0.5714285714285714,0.625,0.625,0.625,0.7906249999999999,3,3,3,5
transformer_only,44,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.829204822954823,5,1,4,4
transformer_only,45,14,0.5,0.5454545454545454,0.75,0.6976744186046512,0.8498397435897436,1,5,2,6
transformer_only,46,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8994408369408369,3,3,1,7
transformer_only,47,14,0.35714285714285715,0.4,0.25,0.2702702702702703,0.6582656926406927,3,3,6,2
transformer_only,48,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8513257575757576,4,2,3,5
transformer_only,49,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.6915064102564104,3,3,1,7
transformer_only,50,14,0.5714285714285714,0.625,0.625,0.625,0.6268554362304363,3,3,3,5
mechanism_only,1,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,2,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,3,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,4,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,5,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,6,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,7,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,8,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,9,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,10,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,11,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,12,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,13,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,14,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,15,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,16,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,17,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,18,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,19,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,20,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,21,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,22,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,23,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,24,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,25,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,26,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,27,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,28,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,29,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,30,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,31,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,32,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,33,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,34,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,35,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,36,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,37,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,38,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,39,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,40,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,41,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,42,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,43,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,44,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,45,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,46,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,47,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,48,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,49,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
mechanism_only,50,14,1.0,1.0,1.0,1.0,1.0,6,0,0,8
transformer_plus_mechanism,1,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.8260281385281385,4,2,4,4
transformer_plus_mechanism,2,14,0.9285714285714286,0.8888888888888888,1.0,0.975609756097561,0.7713789682539683,5,1,0,8
transformer_plus_mechanism,3,14,0.7142857142857143,0.75,0.75,0.75,0.8295003607503608,4,2,2,6
transformer_plus_mechanism,4,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7705357142857143,4,2,3,5
transformer_plus_mechanism,5,14,0.8571428571428571,0.8,1.0,0.9523809523809523,0.9415178571428572,4,2,0,8
transformer_plus_mechanism,6,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7807921245421245,4,2,3,5
transformer_plus_mechanism,7,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8784722222222222,4,2,3,5
transformer_plus_mechanism,8,14,0.7142857142857143,0.75,0.75,0.75,0.7918019480519481,4,2,2,6
transformer_plus_mechanism,9,14,0.8571428571428571,0.875,0.875,0.875,0.9861111111111112,5,1,1,7
transformer_plus_mechanism,10,14,0.5714285714285714,0.625,0.625,0.625,0.8398674242424242,3,3,3,5
transformer_plus_mechanism,11,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.6552083333333333,3,3,2,6
transformer_plus_mechanism,12,14,0.5714285714285714,0.6,0.75,0.7142857142857143,0.8357954545454546,2,4,2,6
transformer_plus_mechanism,13,14,0.5,0.6,0.375,0.40540540540540543,0.8295003607503608,4,2,5,3
transformer_plus_mechanism,14,14,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.9381313131313131,5,1,2,6
transformer_plus_mechanism,15,14,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.7371909340659342,4,2,1,7
transformer_plus_mechanism,16,14,0.9285714285714286,1.0,0.875,0.8974358974358975,1.0,6,0,1,7
transformer_plus_mechanism,17,14,0.5714285714285714,0.6,0.75,0.7142857142857143,0.8123397435897436,2,4,2,6
transformer_plus_mechanism,18,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.897159090909091,4,2,3,5
transformer_plus_mechanism,19,14,0.5714285714285714,0.625,0.625,0.625,0.6989583333333333,3,3,3,5
transformer_plus_mechanism,20,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.604087579087579,4,2,3,5
transformer_plus_mechanism,21,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7972222222222223,4,2,3,5
transformer_plus_mechanism,22,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7061507936507937,4,2,3,5
transformer_plus_mechanism,23,14,0.8571428571428571,0.875,0.875,0.875,0.9248511904761905,5,1,1,7
transformer_plus_mechanism,24,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.9040178571428572,5,1,4,4
transformer_plus_mechanism,25,14,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.932426948051948,4,2,1,7
transformer_plus_mechanism,26,14,0.8571428571428571,1.0,0.75,0.7894736842105263,0.9861111111111112,6,0,2,6
transformer_plus_mechanism,27,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8564685314685314,5,1,3,5
transformer_plus_mechanism,28,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.7292478354978356,2,4,3,5
transformer_plus_mechanism,29,14,0.7857142857142857,0.7272727272727273,1.0,0.9302325581395349,0.8951388888888889,3,3,0,8
transformer_plus_mechanism,30,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.9293650793650794,5,1,3,5
transformer_plus_mechanism,31,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8334686147186148,5,1,3,5
transformer_plus_mechanism,32,14,0.8571428571428571,1.0,0.75,0.7894736842105263,0.959375,6,0,2,6
transformer_plus_mechanism,33,14,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.8015241702741703,4,2,1,7
transformer_plus_mechanism,34,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8726076007326008,5,1,4,4
transformer_plus_mechanism,35,14,0.5714285714285714,0.625,0.625,0.625,0.7836174242424242,3,3,3,5
transformer_plus_mechanism,36,14,0.7857142857142857,1.0,0.625,0.6756756756756757,0.9526289682539683,6,0,3,5
transformer_plus_mechanism,37,14,0.5,0.5714285714285714,0.5,0.5128205128205128,0.5586465617715618,3,3,4,4
transformer_plus_mechanism,38,14,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.6865079365079365,4,2,1,7
transformer_plus_mechanism,39,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.928409090909091,3,3,2,6
transformer_plus_mechanism,40,14,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.959375,4,2,1,7
transformer_plus_mechanism,41,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7673430735930736,4,2,3,5
transformer_plus_mechanism,42,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.843190836940837,5,1,3,5
transformer_plus_mechanism,43,14,0.7142857142857143,0.75,0.75,0.75,0.8895833333333334,4,2,2,6
transformer_plus_mechanism,44,14,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.8644345238095239,5,1,3,5
transformer_plus_mechanism,45,14,0.5714285714285714,0.6,0.75,0.7142857142857143,0.8361492673992674,2,4,2,6
transformer_plus_mechanism,46,14,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.959375,5,1,2,6
transformer_plus_mechanism,47,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7625811688311688,4,2,3,5
transformer_plus_mechanism,48,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.8867424242424242,4,2,3,5
transformer_plus_mechanism,49,14,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.9704861111111112,5,1,2,6
transformer_plus_mechanism,50,14,0.5714285714285714,0.625,0.625,0.625,0.709753787878788,3,3,3,5
