representation,C,repeat,fold,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
transformer_plus_pathway,0.1,1,4,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8258928571428571,3,3,1,7
transformer_plus_pathway,0.1,1,5,0.5,0.5555555555555556,0.625,0.6097560975609756,0.7391684704184704,2,4,3,5
transformer_plus_pathway,0.1,2,1,0.42857142857142855,0.5,0.25,0.2777777777777778,0.7224587912087912,4,2,6,2
transformer_plus_pathway,0.1,2,2,0.5,0.5714285714285714,0.5,0.5128205128205128,0.7696314102564102,3,3,4,4
transformer_plus_pathway,0.1,2,3,1.0,1.0,1.0,1.0,1.0,6,0,0,8
transformer_plus_pathway,0.1,2,4,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.8976076007326008,4,2,1,7
transformer_plus_pathway,0.1,2,5,0.5,0.5555555555555556,0.625,0.6097560975609756,0.6603375790875791,2,4,3,5
transformer_plus_pathway,0.1,3,1,0.5,0.6,0.375,0.40540540540540543,0.7923430735930737,4,2,5,3
transformer_plus_pathway,0.1,3,2,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7593614718614718,4,2,3,5
transformer_plus_pathway,0.1,3,3,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.9085317460317461,5,1,3,5
transformer_plus_pathway,0.1,3,4,0.7142857142857143,0.75,0.75,0.75,0.7820436507936509,4,2,2,6
transformer_plus_pathway,0.1,3,5,0.7142857142857143,0.7,0.875,0.8333333333333334,0.9659090909090909,3,3,1,7
transformer_plus_pathway,0.1,4,1,0.5,0.5714285714285714,0.5,0.5128205128205128,0.6270156926406927,3,3,4,4
transformer_plus_pathway,0.1,4,2,0.5714285714285714,0.625,0.625,0.625,0.7760416666666666,3,3,3,5
transformer_plus_pathway,0.1,4,3,0.5,0.5555555555555556,0.625,0.6097560975609756,0.816693722943723,2,4,3,5
transformer_plus_pathway,0.1,4,4,0.7142857142857143,0.75,0.75,0.75,0.9305555555555556,4,2,2,6
transformer_plus_pathway,0.1,4,5,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.9085317460317461,5,1,2,6
transformer_plus_pathway,0.1,5,1,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8194826007326007,3,3,1,7
transformer_plus_pathway,0.1,5,2,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.8886113886113887,5,1,2,6
