fold,model,accuracy,precision,recall,f2,pr_auc,false_positive_count,false_negative_count,confusion_matrix
40,Hybrid TF-IDF + Transformer,0.7857142857142857,0.7272727272727273,1.0,0.9302325581395349,0.7982503607503608,3,0,"[[3, 3], [0, 8]]"
41,TF-IDF + Logistic Regression,0.5,0.5714285714285714,0.5,0.5128205128205128,0.8203869047619048,3,4,"[[3, 3], [4, 4]]"
41,Transformer Embeddings + Logistic Regression,0.6428571428571429,0.8,0.5,0.5405405405405406,0.7972222222222223,1,4,"[[5, 1], [4, 4]]"
41,Hybrid TF-IDF + Transformer,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.7972222222222223,1,3,"[[5, 1], [3, 5]]"
42,TF-IDF + Logistic Regression,0.5,0.5384615384615384,0.875,0.7777777777777778,0.7357142857142858,6,1,"[[0, 6], [1, 7]]"
42,Transformer Embeddings + Logistic Regression,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.8388888888888889,2,1,"[[4, 2], [1, 7]]"
42,Hybrid TF-IDF + Transformer,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.8701388888888889,2,1,"[[4, 2], [1, 7]]"
43,TF-IDF + Logistic Regression,0.7142857142857143,0.75,0.75,0.75,0.9202741702741702,2,2,"[[4, 2], [2, 6]]"
43,Transformer Embeddings + Logistic Regression,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.9305555555555556,2,1,"[[4, 2], [1, 7]]"
43,Hybrid TF-IDF + Transformer,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.975,2,1,"[[4, 2], [1, 7]]"
44,TF-IDF + Logistic Regression,0.8571428571428571,0.875,0.875,0.875,0.8956845238095239,1,1,"[[5, 1], [1, 7]]"
44,Transformer Embeddings + Logistic Regression,0.5714285714285714,0.625,0.625,0.625,0.7143554362304363,3,3,"[[3, 3], [3, 5]]"
44,Hybrid TF-IDF + Transformer,0.5714285714285714,0.625,0.625,0.625,0.7641254578754579,3,3,"[[3, 3], [3, 5]]"
45,TF-IDF + Logistic Regression,0.8571428571428571,0.875,0.875,0.875,0.9129464285714286,1,1,"[[5, 1], [1, 7]]"
45,Transformer Embeddings + Logistic Regression,0.8571428571428571,0.875,0.875,0.875,0.8644345238095239,1,1,"[[5, 1], [1, 7]]"
45,Hybrid TF-IDF + Transformer,0.8571428571428571,0.875,0.875,0.875,0.9427083333333333,1,1,"[[5, 1], [1, 7]]"
46,TF-IDF + Logistic Regression,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.8243371212121212,2,4,"[[4, 2], [4, 4]]"
46,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8260281385281385,3,1,"[[3, 3], [1, 7]]"
46,Hybrid TF-IDF + Transformer,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.8385912698412699,2,1,"[[4, 2], [1, 7]]"
47,TF-IDF + Logistic Regression,0.5714285714285714,0.75,0.375,0.4166666666666667,0.7284000721500722,1,5,"[[5, 1], [5, 3]]"
47,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.7941287878787879,1,3,"[[5, 1], [3, 5]]"
47,Hybrid TF-IDF + Transformer,0.7142857142857143,0.8333333333333334,0.625,0.6578947368421053,0.7941287878787879,1,3,"[[5, 1], [3, 5]]"
48,TF-IDF + Logistic Regression,0.7142857142857143,0.6666666666666666,1.0,0.9090909090909091,0.975,4,0,"[[2, 4], [0, 8]]"
48,Transformer Embeddings + Logistic Regression,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8258928571428571,3,2,"[[3, 3], [2, 6]]"
48,Hybrid TF-IDF + Transformer,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8668650793650794,3,1,"[[3, 3], [1, 7]]"
49,TF-IDF + Logistic Regression,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.7531114718614719,3,2,"[[3, 3], [2, 6]]"
49,Transformer Embeddings + Logistic Regression,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.9472222222222222,1,2,"[[5, 1], [2, 6]]"
49,Hybrid TF-IDF + Transformer,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.9202741702741702,1,2,"[[5, 1], [2, 6]]"
50,TF-IDF + Logistic Regression,0.7142857142857143,0.6666666666666666,1.0,0.9090909090909091,0.8790178571428572,4,0,"[[2, 4], [0, 8]]"
50,Transformer Embeddings + Logistic Regression,0.7142857142857143,0.75,0.75,0.75,0.7592643467643468,2,2,"[[4, 2], [2, 6]]"
50,Hybrid TF-IDF + Transformer,0.7857142857142857,0.7777777777777778,0.875,0.8536585365853658,0.7655143467643467,2,1,"[[4, 2], [1, 7]]"
