representation,repeat,fold,n,accuracy,precision,recall,f2,pr_auc,tn,fp,fn,tp
precursor_structured_only,9,1,14,0.5714285714285714,0.625,0.625,0.625,0.8093614718614719,3,3,3,5
precursor_structured_only,9,2,14,0.6428571428571429,0.6666666666666666,0.75,0.7317073170731707,0.8328754578754579,3,3,2,6
precursor_structured_only,9,3,14,0.7857142857142857,0.8571428571428571,0.75,0.7692307692307693,0.8334686147186148,5,1,2,6
precursor_structured_only,9,4,14,0.6428571428571429,0.8,0.5,0.5405405405405406,0.8419642857142857,5,1,4,4
precursor_structured_only,9,5,14,0.42857142857142855,0.5,0.25,0.2777777777777778,0.6793470418470419,4,2,6,2
precursor_structured_only,10,1,14,0.5,0.5714285714285714,0.5,0.5128205128205128,0.6612959956709957,3,3,4,4
precursor_structured_only,10,2,14,0.7142857142857143,0.75,0.75,0.75,0.8422619047619048,4,2,2,6
precursor_structured_only,10,3,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7542478354978355,4,2,3,5
precursor_structured_only,10,4,14,0.7142857142857143,1.0,0.5,0.5555555555555556,0.9415178571428572,6,0,4,4
precursor_structured_only,10,5,14,0.5714285714285714,0.6666666666666666,0.5,0.5263157894736842,0.7580544455544456,4,2,4,4
transformer_plus_precursor,1,1,14,0.7142857142857143,0.75,0.75,0.75,0.8009310134310135,4,2,2,6
transformer_plus_precursor,1,2,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7037087912087913,4,2,3,5
transformer_plus_precursor,1,3,14,0.6428571428571429,0.7142857142857143,0.625,0.6410256410256411,0.7729978354978355,4,2,3,5
transformer_plus_precursor,1,4,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.7723214285714286,3,3,1,7
transformer_plus_precursor,1,5,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.7225018037518037,2,4,3,5
transformer_plus_precursor,2,1,14,0.42857142857142855,0.5,0.25,0.2777777777777778,0.7156565656565657,4,2,6,2
transformer_plus_precursor,2,2,14,0.42857142857142855,0.5,0.375,0.39473684210526316,0.7425751332001332,3,3,5,3
transformer_plus_precursor,2,3,14,0.9285714285714286,0.8888888888888888,1.0,0.975609756097561,1.0,5,1,0,8
transformer_plus_precursor,2,4,14,0.7142857142857143,0.7,0.875,0.8333333333333334,0.8413576007326008,3,3,1,7
transformer_plus_precursor,2,5,14,0.5,0.5555555555555556,0.625,0.6097560975609756,0.7125811688311688,2,4,3,5
transformer_plus_precursor,3,1,14,0.5,0.6,0.375,0.40540540540540543,0.7423430735930736,4,2,5,3
